,,,,0.27
04-05-2026,02:53:57,458542.83,4019435.12,-2.00,0.31
04-05-2026,02:53:58,458542.99,4019435.11,-2.00,0.32
04-05-2026,02:53:59,458543.13,4019435.13,-3.00,0.34
04-05-2026,02:54:00,458543.27,4019435.16,4.00,0.33
04-05-2026,02:54:01,458543.42,4019435.19,-11.00,0.35
04-05-2026,02:54:02,458543.57,4019435.21,-2.00,0.36
04-05-2026,02:54:03,458543.73,4019435.21,3.00,0.36
04-05-2026,02:54:04,458543.89,4019435.21,-2.00,0.38
04-05-2026,02:54:05,458544.03,4019435.20,-1.00,0.37
04-05-2026,02:54:06,458544.18,4019435.18,-1.00,0.37
04-05-2026,02:54:07,458544.32,4019435.14,-8.00,0.35
04-05-2026,02:54:08,458544.45,4019435.11,7.00,0.33
04-05-2026,02:54:09,458544.61,4019435.10,3.00,0.31
04-05-2026,02:54:10,458544.80,4019435.17,4.00,0.28
04-05-2026,02:54:11,458545.00,4019435.22,5.00,0.26
04-05-2026,02:54:12,458545.18,4019435.27,-11.00,0.22
04-05-2026,02:54:13,458545.35,4019435.32,-3.00,0.19
04-05-2026,02:54:14,458545.50,4019435.32,-9.00,0.23
04-05-2026,02:54:15,458545.64,4019435.31,-2.00,0.22
04-05-2026,02:54:16,458545.79,4019435.30,-5.00,0.23
04-05-2026,02:54:17,458545.94,4019435.32,2.00,0.23
04-05-2026,02:54:18,458546.09,4019435.33,-0.00,0.25
04-05-2026,02:54:19,458546.23,4019435.36,3.00,0.26
04-05-2026,02:54:20,458546.38,4019435.40,-3.00,0.28
04-05-2026,02:54:21,458546.55,4019435.41,-2.00,0.28
04-05-2026,02:54:22,458546.73,4019435.42,-3.00,0.27
04-05-2026,02:54:23,458546.92,4019435.42,-2.00,0.24
04-05-2026,02:54:24,458547.10,4019435.41,-4.00,0.25
04-05-2026,02:54:25,458547.29,4019435.41,-2.00,0.24
04-05-2026,02:54:26,458547.46,4019435.41,3.00,0.24
04-05-2026,02:54:27,458547.63,4019435.43,1.00,0.24
04-05-2026,02:54:28,458547.80,4019435.46,5.00,0.25
04-05-2026,02:54:29,458547.98,4019435.46,20.00,0.25
04-05-2026,02:54:30,458548.16,4019435.44,48.00,0.24
04-05-2026,02:54:31,458548.35,4019435.42,132.00,0.23
04-05-2026,02:54:32,458548.53,4019435.39,230.00,0.24
04-05-2026,02:54:33,458548.72,4019435.36,360.00,0.24
04-05-2026,02:54:34,458548.91,4019435.34,489.00,0.25
04-05-2026,02:54:35,458549.10,4019435.30,513.00,0.22
04-05-2026,02:54:36,458549.26,4019435.27,487.00,0.25
04-05-2026,02:54:37,458549.42,4019435.25,370.00,0.24
04-05-2026,02:54:38,458549.57,4019435.24,256.00,0.26
04-05-2026,02:54:39,458549.72,4019435.22,165.00,0.26
04-05-2026,02:54:40,458549.89,4019435.18,91.00,0.26
04-05-2026,02:54:41,458550.05,4019435.15,44.00,0.24
04-05-2026,02:54:42,458550.21,4019435.12,28.00,0.24
04-05-2026,02:54:43,458550.36,4019435.09,3.00,0.26
04-05-2026,02:54:44,458550.51,4019435.06,3.00,0.29
04-05-2026,02:54:45,458550.66,4019435.04,4.00,0.28
04-05-2026,02:54:46,458550.83,4019435.06,-4.00,0.30
04-05-2026,02:54:47,458551.00,4019435.14,2.00,0.28
04-05-2026,02:54:48,458551.17,4019435.20,-3.00,0.27
04-05-2026,02:54:49,458551.32,4019435.25,-8.00,0.26
04-05-2026,02:54:50,458551.46,4019435.27,-1.00,0.27
04-05-2026,02:54:51,458551.61,4019435.27,-0.00,0.28
04-05-2026,02:54:52,458551.75,4019435.23,-9.00,0.28
04-05-2026,02:54:53,458551.92,4019435.21,3.00,0.27
04-05-2026,02:54:54,458552.09,4019435.24,-3.00,0.29
04-05-2026,02:54:55,458552.27,4019435.32,-12.00,0.31
04-05-2026,02:54:56,458552.43,4019435.42,-1.00,0.31
04-05-2026,02:54:57,458552.59,4019435.52,-4.00,0.26
04-05-2026,02:54:58,458552.75,4019435.57,1.00,0.26
04-05-2026,02:54:59,458552.92,4019435.56,-6.00,0.27
04-05-2026,02:55:00,458553.08,4019435.55,1.00,0.27
04-05-2026,02:55:01,458553.24,4019435.58,-3.00,0.29
04-05-2026,02:55:02,458553.40,4019435.68,-6.00,0.28
04-05-2026,02:55:03,458553.56,4019435.80,3.00,0.26
04-05-2026,02:55:04,458553.71,4019435.92,-2.00,0.27
04-05-2026,02:55:05,458553.86,4019435.99,-2.00,0.26
04-05-2026,02:55:06,458554.02,4019435.98,-2.00,0.26
04-05-2026,02:55:07,458554.19,4019435.95,-3.00,0.26
04-05-2026,02:55:08,458554.34,4019435.89,-2.00,0.24
04-05-2026,02:55:09,458554.49,4019435.83,1.00,0.22
04-05-2026,02:55:10,458554.64,4019435.78,-5.00,0.21
04-05-2026,02:55:11,458554.78,4019435.75,-1.00,0.22
04-05-2026,02:55:12,458554.92,4019435.70,-3.00,0.22
04-05-2026,02:55:13,458555.07,4019435.66,-2.00,0.24
04-05-2026,02:55:14,458555.22,4019435.61,-6.00,0.24
04-05-2026,02:55:15,458555.36,4019435.55,-6.00,0.26
04-05-2026,02:55:16,458555.51,4019435.50,-9.00,0.26
04-05-2026,02:55:17,458555.66,4019435.46,-2.00,0.28
04-05-2026,02:55:18,458555.83,4019435.40,-2.00,0.29
04-05-2026,02:55:19,458556.01,4019435.34,3.00,0.28
04-05-2026,02:55:20,458556.19,4019435.27,2.00,0.28
