,,,,0.27
04-05-2026,02:53:57,458542.82,4019435.59,-4.00,0.31
04-05-2026,02:53:58,458542.98,4019435.58,5.00,0.32
04-05-2026,02:53:59,458543.12,4019435.60,3.00,0.34
04-05-2026,02:54:00,458543.27,4019435.63,-5.00,0.33
04-05-2026,02:54:01,458543.42,4019435.66,-1.00,0.35
04-05-2026,02:54:02,458543.57,4019435.68,-3.00,0.36
04-05-2026,02:54:03,458543.72,4019435.68,6.00,0.36
04-05-2026,02:54:04,458543.89,4019435.68,6.00,0.38
04-05-2026,02:54:05,458544.02,4019435.67,10.00,0.37
04-05-2026,02:54:06,458544.17,4019435.65,5.00,0.37
04-05-2026,02:54:07,458544.31,4019435.61,3.00,0.35
04-05-2026,02:54:08,458544.44,4019435.58,1.00,0.33
04-05-2026,02:54:09,458544.60,4019435.57,2.00,0.31
04-05-2026,02:54:10,458544.80,4019435.64,-0.00,0.28
04-05-2026,02:54:11,458544.99,4019435.69,2.00,0.26
04-05-2026,02:54:12,458545.18,4019435.74,-1.00,0.22
04-05-2026,02:54:13,458545.35,4019435.79,-2.00,0.19
04-05-2026,02:54:14,458545.49,4019435.79,4.00,0.23
04-05-2026,02:54:15,458545.64,4019435.78,2.00,0.22
04-05-2026,02:54:16,458545.79,4019435.77,4.00,0.23
04-05-2026,02:54:17,458545.93,4019435.79,-3.00,0.23
04-05-2026,02:54:18,458546.08,4019435.80,-2.00,0.25
04-05-2026,02:54:19,458546.22,4019435.83,4.00,0.26
04-05-2026,02:54:20,458546.37,4019435.87,-6.00,0.28
04-05-2026,02:54:21,458546.55,4019435.88,4.00,0.28
04-05-2026,02:54:22,458546.73,4019435.89,3.00,0.27
04-05-2026,02:54:23,458546.91,4019435.89,3.00,0.24
04-05-2026,02:54:24,458547.09,4019435.88,8.00,0.25
04-05-2026,02:54:25,458547.28,4019435.88,6.00,0.24
04-05-2026,02:54:26,458547.45,4019435.88,7.00,0.24
04-05-2026,02:54:27,458547.62,4019435.90,9.00,0.24
04-05-2026,02:54:28,458547.79,4019435.93,20.00,0.25
04-05-2026,02:54:29,458547.97,4019435.92,38.00,0.25
04-05-2026,02:54:30,458548.15,4019435.91,84.00,0.24
04-05-2026,02:54:31,458548.34,4019435.89,223.00,0.23
04-05-2026,02:54:32,458548.52,4019435.86,456.00,0.24
04-05-2026,02:54:33,458548.71,4019435.83,770.00,0.24
04-05-2026,02:54:34,458548.89,4019435.81,1094.00,0.25
04-05-2026,02:54:35,458549.08,4019435.77,1211.00,0.22
04-05-2026,02:54:36,458549.25,4019435.74,1169.00,0.25
04-05-2026,02:54:37,458549.41,4019435.72,955.00,0.24
04-05-2026,02:54:38,458549.56,4019435.71,698.00,0.26
04-05-2026,02:54:39,458549.71,4019435.69,425.00,0.26
04-05-2026,02:54:40,458549.89,4019435.65,245.00,0.26
04-05-2026,02:54:41,458550.05,4019435.62,129.00,0.24
04-05-2026,02:54:42,458550.20,4019435.59,67.00,0.24
04-05-2026,02:54:43,458550.35,4019435.56,39.00,0.26
04-05-2026,02:54:44,458550.50,4019435.53,24.00,0.29
04-05-2026,02:54:45,458550.65,4019435.51,11.00,0.28
04-05-2026,02:54:46,458550.82,4019435.53,9.00,0.30
04-05-2026,02:54:47,458551.00,4019435.61,9.00,0.28
04-05-2026,02:54:48,458551.18,4019435.67,8.00,0.27
04-05-2026,02:54:49,458551.33,4019435.72,0.00,0.26
04-05-2026,02:54:50,458551.47,4019435.74,1.00,0.27
04-05-2026,02:54:51,458551.61,4019435.74,-1.00,0.28
04-05-2026,02:54:52,458551.75,4019435.70,2.00,0.28
04-05-2026,02:54:53,458551.91,4019435.68,3.00,0.27
04-05-2026,02:54:54,458552.09,4019435.71,3.00,0.29
04-05-2026,02:54:55,458552.26,4019435.79,3.00,0.31
04-05-2026,02:54:56,458552.43,4019435.89,-1.00,0.31
04-05-2026,02:54:57,458552.60,4019435.99,4.00,0.26
04-05-2026,02:54:58,458552.75,4019436.04,4.00,0.26
04-05-2026,02:54:59,458552.91,4019436.03,-4.00,0.27
04-05-2026,02:55:00,458553.06,4019436.02,-0.00,0.27
04-05-2026,02:55:01,458553.22,4019436.05,3.00,0.29
04-05-2026,02:55:02,458553.39,4019436.15,-1.00,0.28
04-05-2026,02:55:03,458553.55,4019436.27,4.00,0.26
04-05-2026,02:55:04,458553.71,4019436.39,-2.00,0.27
04-05-2026,02:55:05,458553.86,4019436.46,0.00,0.26
04-05-2026,02:55:06,458554.01,4019436.45,-4.00,0.26
04-05-2026,02:55:07,458554.17,4019436.42,1.00,0.26
04-05-2026,02:55:08,458554.33,4019436.36,3.00,0.24
04-05-2026,02:55:09,458554.48,4019436.30,-8.00,0.22
04-05-2026,02:55:10,458554.62,4019436.25,5.00,0.21
04-05-2026,02:55:11,458554.76,4019436.22,-1.00,0.22
04-05-2026,02:55:12,458554.91,4019436.17,1.00,0.22
04-05-2026,02:55:13,458555.06,4019436.13,-2.00,0.24
04-05-2026,02:55:14,458555.21,4019436.08,2.00,0.24
04-05-2026,02:55:15,458555.35,4019436.02,-1.00,0.26
04-05-2026,02:55:16,458555.50,4019435.97,5.00,0.26
04-05-2026,02:55:17,458555.65,4019435.93,3.00,0.28
04-05-2026,02:55:18,458555.82,4019435.87,4.00,0.29
04-05-2026,02:55:19,458556.00,4019435.81,10.00,0.28
04-05-2026,02:55:20,458556.18,4019435.74,7.00,0.28
