,,,,0.27
04-05-2026,02:53:57,458542.84,4019434.65,-3.00,0.31
04-05-2026,02:53:58,458542.99,4019434.64,-5.00,0.32
04-05-2026,02:53:59,458543.14,4019434.66,1.00,0.34
04-05-2026,02:54:00,458543.28,4019434.69,-1.00,0.33
04-05-2026,02:54:01,458543.43,4019434.72,-6.00,0.35
04-05-2026,02:54:02,458543.57,4019434.74,-7.00,0.36
04-05-2026,02:54:03,458543.73,4019434.74,-9.00,0.36
04-05-2026,02:54:04,458543.89,4019434.74,-2.00,0.38
04-05-2026,02:54:05,458544.03,4019434.74,-10.00,0.37
04-05-2026,02:54:06,458544.18,4019434.71,-2.00,0.37
04-05-2026,02:54:07,458544.33,4019434.67,-0.00,0.35
04-05-2026,02:54:08,458544.46,4019434.64,-8.00,0.33
04-05-2026,02:54:09,458544.62,4019434.63,-6.00,0.31
04-05-2026,02:54:10,458544.81,4019434.70,-5.00,0.28
04-05-2026,02:54:11,458545.00,4019434.75,-6.00,0.26
04-05-2026,02:54:12,458545.18,4019434.80,0.00,0.22
04-05-2026,02:54:13,458545.34,4019434.85,2.00,0.19
04-05-2026,02:54:14,458545.50,4019434.85,-8.00,0.23
04-05-2026,02:54:15,458545.65,4019434.84,-2.00,0.22
04-05-2026,02:54:16,458545.80,4019434.83,-3.00,0.23
04-05-2026,02:54:17,458545.94,4019434.85,-5.00,0.23
04-05-2026,02:54:18,458546.10,4019434.86,-8.00,0.25
04-05-2026,02:54:19,458546.24,4019434.89,-4.00,0.26
04-05-2026,02:54:20,458546.39,4019434.93,-3.00,0.28
04-05-2026,02:54:21,458546.56,4019434.95,0.00,0.28
04-05-2026,02:54:22,458546.74,4019434.95,-1.00,0.27
04-05-2026,02:54:23,458546.93,4019434.95,-3.00,0.24
04-05-2026,02:54:24,458547.12,4019434.94,-0.00,0.25
04-05-2026,02:54:25,458547.31,4019434.94,-8.00,0.24
04-05-2026,02:54:26,458547.48,4019434.94,-4.00,0.24
04-05-2026,02:54:27,458547.64,4019434.96,4.00,0.24
04-05-2026,02:54:28,458547.81,4019434.99,-2.00,0.25
04-05-2026,02:54:29,458547.99,4019434.99,5.00,0.25
04-05-2026,02:54:30,458548.18,4019434.97,20.00,0.24
04-05-2026,02:54:31,458548.36,4019434.95,27.00,0.23
04-05-2026,02:54:32,458548.55,4019434.92,36.00,0.24
04-05-2026,02:54:33,458548.73,4019434.89,51.00,0.24
04-05-2026,02:54:34,458548.92,4019434.87,65.00,0.25
04-05-2026,02:54:35,458549.11,4019434.83,71.00,0.22
04-05-2026,02:54:36,458549.27,4019434.80,65.00,0.25
04-05-2026,02:54:37,458549.43,4019434.78,54.00,0.24
04-05-2026,02:54:38,458549.58,4019434.77,31.00,0.26
04-05-2026,02:54:39,458549.73,4019434.75,23.00,0.26
04-05-2026,02:54:40,458549.90,4019434.71,20.00,0.26
04-05-2026,02:54:41,458550.06,4019434.68,3.00,0.24
04-05-2026,02:54:42,458550.22,4019434.65,13.00,0.24
04-05-2026,02:54:43,458550.37,4019434.62,7.00,0.26
04-05-2026,02:54:44,458550.52,4019434.59,-1.00,0.29
04-05-2026,02:54:45,458550.67,4019434.57,-1.00,0.28
04-05-2026,02:54:46,458550.83,4019434.60,4.00,0.30
04-05-2026,02:54:47,458551.00,4019434.67,-4.00,0.28
04-05-2026,02:54:48,458551.16,4019434.73,-4.00,0.27
04-05-2026,02:54:49,458551.31,4019434.78,-1.00,0.26
04-05-2026,02:54:50,458551.46,4019434.80,0.00,0.27
04-05-2026,02:54:51,458551.60,4019434.80,-4.00,0.28
04-05-2026,02:54:52,458551.75,4019434.76,-11.00,0.28
04-05-2026,02:54:53,458551.92,4019434.74,4.00,0.27
04-05-2026,02:54:54,458552.10,4019434.77,-5.00,0.29
04-05-2026,02:54:55,458552.27,4019434.85,-3.00,0.31
04-05-2026,02:54:56,458552.43,4019434.95,-6.00,0.31
04-05-2026,02:54:57,458552.59,4019435.05,-9.00,0.26
04-05-2026,02:54:58,458552.75,4019435.10,-5.00,0.26
04-05-2026,02:54:59,458552.93,4019435.09,-6.00,0.27
04-05-2026,02:55:00,458553.09,4019435.08,-7.00,0.27
04-05-2026,02:55:01,458553.25,4019435.11,-6.00,0.29
04-05-2026,02:55:02,458553.42,4019435.21,-3.00,0.28
04-05-2026,02:55:03,458553.57,4019435.33,-4.00,0.26
04-05-2026,02:55:04,458553.72,4019435.45,7.00,0.27
04-05-2026,02:55:05,458553.87,4019435.52,1.00,0.26
04-05-2026,02:55:06,458554.03,4019435.51,-7.00,0.26
04-05-2026,02:55:07,458554.20,4019435.48,-5.00,0.26
04-05-2026,02:55:08,458554.36,4019435.42,-8.00,0.24
04-05-2026,02:55:09,458554.51,4019435.36,1.00,0.22
04-05-2026,02:55:10,458554.65,4019435.31,-10.00,0.21
04-05-2026,02:55:11,458554.79,4019435.28,-4.00,0.22
04-05-2026,02:55:12,458554.94,4019435.23,0.00,0.22
04-05-2026,02:55:13,458555.09,4019435.19,-3.00,0.24
04-05-2026,02:55:14,458555.23,4019435.14,-1.00,0.24
04-05-2026,02:55:15,458555.38,4019435.08,3.00,0.26
04-05-2026,02:55:16,458555.52,4019435.03,-5.00,0.26
04-05-2026,02:55:17,458555.67,4019434.99,-1.00,0.28
04-05-2026,02:55:18,458555.84,4019434.93,2.00,0.29
04-05-2026,02:55:19,458556.02,4019434.87,-3.00,0.28
04-05-2026,02:55:20,458556.20,4019434.80,-5.00,0.28
