,,,,0.25
04-05-2026,02:58:36,458542.65,4019436.04,3.00,0.25
04-05-2026,02:58:37,458542.77,4019436.00,2.00,0.25
04-05-2026,02:58:38,458542.89,4019435.97,-2.00,0.27
04-05-2026,02:58:39,458543.01,4019435.97,4.00,0.29
04-05-2026,02:58:40,458543.17,4019436.01,-5.00,0.31
04-05-2026,02:58:41,458543.32,4019436.04,-3.00,0.30
04-05-2026,02:58:42,458543.48,4019436.09,-2.00,0.29
04-05-2026,02:58:43,458543.63,4019436.12,-4.00,0.29
04-05-2026,02:58:44,458543.78,4019436.15,-11.00,0.29
04-05-2026,02:58:45,458543.92,4019436.16,1.00,0.27
04-05-2026,02:58:46,458544.07,4019436.15,-0.00,0.28
04-05-2026,02:58:47,458544.22,4019436.15,2.00,0.28
04-05-2026,02:58:48,458544.38,4019436.17,1.00,0.28
04-05-2026,02:58:49,458544.55,4019436.23,3.00,0.29
04-05-2026,02:58:50,458544.72,4019436.32,-6.00,0.27
04-05-2026,02:58:51,458544.90,4019436.42,-2.00,0.24
04-05-2026,02:58:52,458545.06,4019436.47,-3.00,0.25
04-05-2026,02:58:53,458545.23,4019436.49,-2.00,0.23
04-05-2026,02:58:54,458545.41,4019436.48,-2.00,0.23
04-05-2026,02:58:55,458545.61,4019436.47,1.00,0.24
04-05-2026,02:58:56,458545.80,4019436.48,-3.00,0.25
04-05-2026,02:58:57,458545.99,4019436.48,-4.00,0.24
04-05-2026,02:58:58,458546.17,4019436.48,-4.00,0.24
04-05-2026,02:58:59,458546.34,4019436.47,4.00,0.24
04-05-2026,02:59:00,458546.51,4019436.43,-6.00,0.26
04-05-2026,02:59:01,458546.67,4019436.37,2.00,0.24
04-05-2026,02:59:02,458546.84,4019436.30,-2.00,0.24
04-05-2026,02:59:03,458546.99,4019436.25,2.00,0.25
04-05-2026,02:59:04,458547.15,4019436.21,3.00,0.25
04-05-2026,02:59:05,458547.30,4019436.15,-3.00,0.30
04-05-2026,02:59:06,458547.46,4019436.10,-0.00,0.29
04-05-2026,02:59:07,458547.61,4019436.08,-9.00,0.29
04-05-2026,02:59:08,458547.77,4019436.11,-8.00,0.30
04-05-2026,02:59:09,458547.95,4019436.18,-2.00,0.30
04-05-2026,02:59:10,458548.13,4019436.25,-2.00,0.29
04-05-2026,02:59:11,458548.31,4019436.31,3.00,0.30
04-05-2026,02:59:12,458548.49,4019436.33,3.00,0.30
04-05-2026,02:59:13,458548.66,4019436.32,4.00,0.30
04-05-2026,02:59:14,458548.85,4019436.34,9.00,0.30
04-05-2026,02:59:15,458549.04,4019436.39,15.00,0.30
04-05-2026,02:59:16,458549.19,4019436.44,25.00,0.32
04-05-2026,02:59:17,458549.35,4019436.47,27.00,0.30
04-05-2026,02:59:18,458549.52,4019436.49,30.00,0.32
04-05-2026,02:59:19,458549.68,4019436.52,30.00,0.32
04-05-2026,02:59:20,458549.84,4019436.53,28.00,0.33
04-05-2026,02:59:21,458550.01,4019436.53,23.00,0.33
04-05-2026,02:59:22,458550.19,4019436.48,23.00,0.30
04-05-2026,02:59:23,458550.37,4019436.41,33.00,0.27
04-05-2026,02:59:24,458550.54,4019436.31,37.00,0.25
04-05-2026,02:59:25,458550.70,4019436.23,34.00,0.21
04-05-2026,02:59:26,458550.84,4019436.17,32.00,0.23
04-05-2026,02:59:27,458550.97,4019436.14,18.00,0.27
04-05-2026,02:59:28,458551.11,4019436.18,7.00,0.29
04-05-2026,02:59:29,458551.25,4019436.24,9.00,0.30
04-05-2026,02:59:30,458551.38,4019436.30,3.00,0.31
04-05-2026,02:59:31,458551.50,4019436.35,-4.00,0.31
04-05-2026,02:59:32,458551.63,4019436.35,5.00,0.35
04-05-2026,02:59:33,458551.80,4019436.32,-4.00,0.36
04-05-2026,02:59:34,458551.98,4019436.27,4.00,0.37
04-05-2026,02:59:35,458552.13,4019436.21,-4.00,0.36
04-05-2026,02:59:36,458552.28,4019436.19,-2.00,0.37
04-05-2026,02:59:37,458552.46,4019436.21,8.00,0.39
04-05-2026,02:59:38,458552.62,4019436.22,-6.00,0.40
04-05-2026,02:59:39,458552.80,4019436.26,-5.00,0.39
04-05-2026,02:59:40,458552.97,4019436.30,1.00,0.39
04-05-2026,02:59:41,458553.12,4019436.33,-4.00,0.41
04-05-2026,02:59:42,458553.28,4019436.33,-2.00,0.43
04-05-2026,02:59:43,458553.45,4019436.32,-6.00,0.43
04-05-2026,02:59:44,458553.59,4019436.31,-4.00,0.42
04-05-2026,02:59:45,458553.73,4019436.30,-6.00,0.39
04-05-2026,02:59:46,458553.86,4019436.31,-2.00,0.40
04-05-2026,02:59:47,458553.98,4019436.34,-3.00,0.40
04-05-2026,02:59:48,458554.12,4019436.35,-1.00,0.38
04-05-2026,02:59:49,458554.26,4019436.35,3.00,0.38
04-05-2026,02:59:50,458554.41,4019436.36,1.00,0.37
04-05-2026,02:59:51,458554.55,4019436.38,0.00,0.37
04-05-2026,02:59:52,458554.68,4019436.40,-8.00,0.39
04-05-2026,02:59:53,458554.81,4019436.42,-2.00,0.38
04-05-2026,02:59:54,458554.93,4019436.44,-2.00,0.37
04-05-2026,02:59:55,458555.06,4019436.48,-2.00,0.39
04-05-2026,02:59:56,458555.21,4019436.47,-4.00,0.35
04-05-2026,02:59:57,458555.34,4019436.43,1.00,0.34
04-05-2026,02:59:58,458555.47,4019436.38,1.00,0.33
