,,,,0.25
04-05-2026,02:58:36,458542.64,4019436.51,-2.00,0.25
04-05-2026,02:58:37,458542.76,4019436.47,-4.00,0.25
04-05-2026,02:58:38,458542.89,4019436.43,7.00,0.27
04-05-2026,02:58:39,458543.01,4019436.44,4.00,0.29
04-05-2026,02:58:40,458543.17,4019436.48,-5.00,0.31
04-05-2026,02:58:41,458543.32,4019436.51,6.00,0.30
04-05-2026,02:58:42,458543.48,4019436.56,1.00,0.29
04-05-2026,02:58:43,458543.63,4019436.59,1.00,0.29
04-05-2026,02:58:44,458543.78,4019436.62,2.00,0.29
04-05-2026,02:58:45,458543.92,4019436.63,-3.00,0.27
04-05-2026,02:58:46,458544.06,4019436.62,-2.00,0.28
04-05-2026,02:58:47,458544.21,4019436.62,-4.00,0.28
04-05-2026,02:58:48,458544.36,4019436.64,-4.00,0.28
04-05-2026,02:58:49,458544.54,4019436.70,9.00,0.29
04-05-2026,02:58:50,458544.71,4019436.79,-2.00,0.27
04-05-2026,02:58:51,458544.90,4019436.89,-2.00,0.24
04-05-2026,02:58:52,458545.05,4019436.94,8.00,0.25
04-05-2026,02:58:53,458545.22,4019436.96,1.00,0.23
04-05-2026,02:58:54,458545.40,4019436.95,2.00,0.23
04-05-2026,02:58:55,458545.59,4019436.94,6.00,0.24
04-05-2026,02:58:56,458545.78,4019436.95,2.00,0.25
04-05-2026,02:58:57,458545.97,4019436.95,-6.00,0.24
04-05-2026,02:58:58,458546.15,4019436.95,1.00,0.24
04-05-2026,02:58:59,458546.33,4019436.94,4.00,0.24
04-05-2026,02:59:00,458546.50,4019436.90,7.00,0.26
04-05-2026,02:59:01,458546.66,4019436.84,-1.00,0.24
04-05-2026,02:59:02,458546.83,4019436.77,-1.00,0.24
04-05-2026,02:59:03,458546.99,4019436.72,-2.00,0.25
04-05-2026,02:59:04,458547.14,4019436.68,3.00,0.25
04-05-2026,02:59:05,458547.29,4019436.62,5.00,0.30
04-05-2026,02:59:06,458547.45,4019436.57,4.00,0.29
04-05-2026,02:59:07,458547.60,4019436.55,3.00,0.29
04-05-2026,02:59:08,458547.76,4019436.58,4.00,0.30
04-05-2026,02:59:09,458547.95,4019436.65,3.00,0.30
04-05-2026,02:59:10,458548.14,4019436.72,0.00,0.29
04-05-2026,02:59:11,458548.31,4019436.78,4.00,0.30
04-05-2026,02:59:12,458548.49,4019436.80,1.00,0.30
04-05-2026,02:59:13,458548.65,4019436.79,6.00,0.30
04-05-2026,02:59:14,458548.85,4019436.81,5.00,0.30
04-05-2026,02:59:15,458549.03,4019436.86,11.00,0.30
04-05-2026,02:59:16,458549.19,4019436.91,7.00,0.32
04-05-2026,02:59:17,458549.34,4019436.94,3.00,0.30
04-05-2026,02:59:18,458549.50,4019436.96,8.00,0.32
04-05-2026,02:59:19,458549.67,4019436.99,8.00,0.32
04-05-2026,02:59:20,458549.83,4019437.00,4.00,0.33
04-05-2026,02:59:21,458550.00,4019437.00,5.00,0.33
04-05-2026,02:59:22,458550.18,4019436.95,8.00,0.30
04-05-2026,02:59:23,458550.36,4019436.88,4.00,0.27
04-05-2026,02:59:24,458550.53,4019436.78,9.00,0.25
04-05-2026,02:59:25,458550.69,4019436.70,7.00,0.21
04-05-2026,02:59:26,458550.82,4019436.64,6.00,0.23
04-05-2026,02:59:27,458550.96,4019436.61,2.00,0.27
04-05-2026,02:59:28,458551.10,4019436.65,11.00,0.29
04-05-2026,02:59:29,458551.25,4019436.71,2.00,0.30
04-05-2026,02:59:30,458551.38,4019436.77,5.00,0.31
04-05-2026,02:59:31,458551.50,4019436.82,-1.00,0.31
04-05-2026,02:59:32,458551.63,4019436.82,6.00,0.35
04-05-2026,02:59:33,458551.80,4019436.79,3.00,0.36
04-05-2026,02:59:34,458551.97,4019436.74,2.00,0.37
04-05-2026,02:59:35,458552.12,4019436.68,-5.00,0.36
04-05-2026,02:59:36,458552.27,4019436.66,10.00,0.37
04-05-2026,02:59:37,458552.45,4019436.68,4.00,0.39
04-05-2026,02:59:38,458552.61,4019436.69,-2.00,0.40
04-05-2026,02:59:39,458552.79,4019436.73,3.00,0.39
04-05-2026,02:59:40,458552.96,4019436.77,5.00,0.39
04-05-2026,02:59:41,458553.11,4019436.80,6.00,0.41
04-05-2026,02:59:42,458553.28,4019436.80,6.00,0.43
04-05-2026,02:59:43,458553.44,4019436.79,6.00,0.43
04-05-2026,02:59:44,458553.58,4019436.78,-4.00,0.42
04-05-2026,02:59:45,458553.72,4019436.77,-2.00,0.39
04-05-2026,02:59:46,458553.84,4019436.78,3.00,0.40
04-05-2026,02:59:47,458553.97,4019436.80,3.00,0.40
04-05-2026,02:59:48,458554.11,4019436.82,2.00,0.38
04-05-2026,02:59:49,458554.25,4019436.82,3.00,0.38
04-05-2026,02:59:50,458554.40,4019436.83,-0.00,0.37
04-05-2026,02:59:51,458554.54,4019436.85,-1.00,0.37
04-05-2026,02:59:52,458554.67,4019436.87,-1.00,0.39
04-05-2026,02:59:53,458554.81,4019436.89,-3.00,0.38
04-05-2026,02:59:54,458554.93,4019436.91,5.00,0.37
04-05-2026,02:59:55,458555.06,4019436.95,0.00,0.39
04-05-2026,02:59:56,458555.20,4019436.94,1.00,0.35
04-05-2026,02:59:57,458555.34,4019436.90,-8.00,0.34
04-05-2026,02:59:58,458555.46,4019436.85,-0.00,0.33
