,,,,0.25
04-05-2026,02:58:36,458542.65,4019435.57,3.00,0.25
04-05-2026,02:58:37,458542.77,4019435.53,-0.00,0.25
04-05-2026,02:58:38,458542.90,4019435.50,6.00,0.27
04-05-2026,02:58:39,458543.02,4019435.50,-10.00,0.29
04-05-2026,02:58:40,458543.17,4019435.54,-5.00,0.31
04-05-2026,02:58:41,458543.32,4019435.57,-10.00,0.30
04-05-2026,02:58:42,458543.47,4019435.62,-5.00,0.29
04-05-2026,02:58:43,458543.62,4019435.65,-0.00,0.29
04-05-2026,02:58:44,458543.77,4019435.68,6.00,0.29
04-05-2026,02:58:45,458543.92,4019435.69,5.00,0.27
04-05-2026,02:58:46,458544.07,4019435.68,-2.00,0.28
04-05-2026,02:58:47,458544.23,4019435.68,-5.00,0.28
04-05-2026,02:58:48,458544.39,4019435.70,-5.00,0.28
04-05-2026,02:58:49,458544.56,4019435.76,-4.00,0.29
04-05-2026,02:58:50,458544.73,4019435.85,-8.00,0.27
04-05-2026,02:58:51,458544.91,4019435.95,-8.00,0.24
04-05-2026,02:58:52,458545.07,4019436.01,3.00,0.25
04-05-2026,02:58:53,458545.24,4019436.02,-6.00,0.23
04-05-2026,02:58:54,458545.43,4019436.01,-0.00,0.23
04-05-2026,02:58:55,458545.63,4019436.00,-8.00,0.24
04-05-2026,02:58:56,458545.82,4019436.01,-3.00,0.25
04-05-2026,02:58:57,458546.00,4019436.01,3.00,0.24
04-05-2026,02:58:58,458546.18,4019436.01,-10.00,0.24
04-05-2026,02:58:59,458546.35,4019436.00,-3.00,0.24
04-05-2026,02:59:00,458546.52,4019435.96,-3.00,0.26
04-05-2026,02:59:01,458546.68,4019435.90,-5.00,0.24
04-05-2026,02:59:02,458546.85,4019435.83,-5.00,0.24
04-05-2026,02:59:03,458547.00,4019435.78,-3.00,0.25
04-05-2026,02:59:04,458547.16,4019435.74,0.00,0.25
04-05-2026,02:59:05,458547.31,4019435.68,1.00,0.30
04-05-2026,02:59:06,458547.47,4019435.63,-2.00,0.29
04-05-2026,02:59:07,458547.62,4019435.61,-5.00,0.29
04-05-2026,02:59:08,458547.78,4019435.64,1.00,0.30
04-05-2026,02:59:09,458547.95,4019435.71,-3.00,0.30
04-05-2026,02:59:10,458548.13,4019435.78,8.00,0.29
04-05-2026,02:59:11,458548.30,4019435.84,6.00,0.30
04-05-2026,02:59:12,458548.49,4019435.86,3.00,0.30
04-05-2026,02:59:13,458548.66,4019435.85,20.00,0.30
04-05-2026,02:59:14,458548.86,4019435.87,25.00,0.30
04-05-2026,02:59:15,458549.04,4019435.92,66.00,0.30
04-05-2026,02:59:16,458549.20,4019435.97,107.00,0.32
04-05-2026,02:59:17,458549.36,4019436.00,172.00,0.30
04-05-2026,02:59:18,458549.53,4019436.02,209.00,0.32
04-05-2026,02:59:19,458549.69,4019436.05,223.00,0.32
04-05-2026,02:59:20,458549.85,4019436.06,225.00,0.33
04-05-2026,02:59:21,458550.02,4019436.06,204.00,0.33
04-05-2026,02:59:22,458550.20,4019436.01,195.00,0.30
04-05-2026,02:59:23,458550.38,4019435.94,206.00,0.27
04-05-2026,02:59:24,458550.55,4019435.84,189.00,0.25
04-05-2026,02:59:25,458550.72,4019435.76,162.00,0.21
04-05-2026,02:59:26,458550.85,4019435.70,106.00,0.23
04-05-2026,02:59:27,458550.99,4019435.67,51.00,0.27
04-05-2026,02:59:28,458551.12,4019435.71,26.00,0.29
04-05-2026,02:59:29,458551.26,4019435.77,9.00,0.30
04-05-2026,02:59:30,458551.38,4019435.83,7.00,0.31
04-05-2026,02:59:31,458551.50,4019435.88,2.00,0.31
04-05-2026,02:59:32,458551.63,4019435.89,-3.00,0.35
04-05-2026,02:59:33,458551.81,4019435.85,0.00,0.36
04-05-2026,02:59:34,458551.98,4019435.80,0.00,0.37
04-05-2026,02:59:35,458552.14,4019435.74,0.00,0.36
04-05-2026,02:59:36,458552.29,4019435.72,-6.00,0.37
04-05-2026,02:59:37,458552.47,4019435.74,-5.00,0.39
04-05-2026,02:59:38,458552.63,4019435.75,1.00,0.40
04-05-2026,02:59:39,458552.80,4019435.79,-4.00,0.39
04-05-2026,02:59:40,458552.98,4019435.83,-4.00,0.39
04-05-2026,02:59:41,458553.13,4019435.86,-6.00,0.41
04-05-2026,02:59:42,458553.29,4019435.86,2.00,0.43
04-05-2026,02:59:43,458553.46,4019435.85,1.00,0.43
04-05-2026,02:59:44,458553.60,4019435.85,-8.00,0.42
04-05-2026,02:59:45,458553.74,4019435.83,-2.00,0.39
04-05-2026,02:59:46,458553.87,4019435.84,0.00,0.40
04-05-2026,02:59:47,458554.00,4019435.87,-7.00,0.40
04-05-2026,02:59:48,458554.13,4019435.88,-2.00,0.38
04-05-2026,02:59:49,458554.27,4019435.88,-4.00,0.38
04-05-2026,02:59:50,458554.42,4019435.89,-4.00,0.37
04-05-2026,02:59:51,458554.56,4019435.91,-1.00,0.37
04-05-2026,02:59:52,458554.69,4019435.93,-0.00,0.39
04-05-2026,02:59:53,458554.82,4019435.95,-8.00,0.38
04-05-2026,02:59:54,458554.94,4019435.97,-7.00,0.37
04-05-2026,02:59:55,458555.07,4019436.01,-2.00,0.39
04-05-2026,02:59:56,458555.21,4019436.00,-7.00,0.35
04-05-2026,02:59:57,458555.34,4019435.96,-7.00,0.34
04-05-2026,02:59:58,458555.47,4019435.91,-4.00,0.33
