,,,,0.43
04-05-2026,03:02:53,458542.40,4019434.24,-2.00,0.40
04-05-2026,03:02:54,458542.54,4019434.19,-5.00,0.36
04-05-2026,03:02:55,458542.67,4019434.16,-5.00,0.34
04-05-2026,03:02:56,458542.81,4019434.14,0.00,0.34
04-05-2026,03:02:57,458542.94,4019434.13,-4.00,0.35
04-05-2026,03:02:58,458543.09,4019434.16,-4.00,0.35
04-05-2026,03:02:59,458543.24,4019434.20,-1.00,0.36
04-05-2026,03:03:00,458543.41,4019434.25,-5.00,0.34
04-05-2026,03:03:01,458543.57,4019434.30,2.00,0.34
04-05-2026,03:03:02,458543.72,4019434.38,1.00,0.35
04-05-2026,03:03:03,458543.88,4019434.45,-3.00,0.36
04-05-2026,03:03:04,458544.03,4019434.49,7.00,0.36
04-05-2026,03:03:05,458544.19,4019434.49,-3.00,0.36
04-05-2026,03:03:06,458544.35,4019434.48,-5.00,0.37
04-05-2026,03:03:07,458544.50,4019434.47,3.00,0.39
04-05-2026,03:03:08,458544.65,4019434.47,-2.00,0.39
04-05-2026,03:03:09,458544.78,4019434.49,-3.00,0.40
04-05-2026,03:03:10,458544.92,4019434.51,-6.00,0.39
04-05-2026,03:03:11,458545.07,4019434.51,-12.00,0.40
04-05-2026,03:03:12,458545.20,4019434.52,-4.00,0.39
04-05-2026,03:03:13,458545.35,4019434.53,-4.00,0.39
04-05-2026,03:03:14,458545.51,4019434.55,-2.00,0.40
04-05-2026,03:03:15,458545.68,4019434.60,2.00,0.43
04-05-2026,03:03:16,458545.84,4019434.65,-3.00,0.40
04-05-2026,03:03:17,458546.01,4019434.70,-2.00,0.39
04-05-2026,03:03:18,458546.17,4019434.75,-2.00,0.38
04-05-2026,03:03:19,458546.34,4019434.78,-1.00,0.40
04-05-2026,03:03:20,458546.51,4019434.80,-3.00,0.39
04-05-2026,03:03:21,458546.69,4019434.82,-1.00,0.37
04-05-2026,03:03:22,458546.87,4019434.87,-6.00,0.35
04-05-2026,03:03:23,458547.02,4019434.89,-9.00,0.36
04-05-2026,03:03:24,458547.21,4019434.86,1.00,0.33
04-05-2026,03:03:25,458547.38,4019434.84,2.00,0.31
04-05-2026,03:03:26,458547.54,4019434.79,-5.00,0.27
04-05-2026,03:03:27,458547.70,4019434.75,2.00,0.25
04-05-2026,03:03:28,458547.86,4019434.70,1.00,0.23
04-05-2026,03:03:29,458548.00,4019434.65,-1.00,0.23
04-05-2026,03:03:30,458548.14,4019434.61,-5.00,0.25
04-05-2026,03:03:31,458548.27,4019434.57,-1.00,0.27
04-05-2026,03:03:32,458548.40,4019434.55,-2.00,0.27
04-05-2026,03:03:33,458548.54,4019434.55,3.00,0.32
04-05-2026,03:03:34,458548.69,4019434.59,2.00,0.35
04-05-2026,03:03:35,458548.83,4019434.64,-1.00,0.36
04-05-2026,03:03:36,458548.96,4019434.69,-2.00,0.37
04-05-2026,03:03:37,458549.10,4019434.75,-2.00,0.39
04-05-2026,03:03:38,458549.26,4019434.81,-0.00,0.40
04-05-2026,03:03:39,458549.43,4019434.83,3.00,0.39
04-05-2026,03:03:40,458549.61,4019434.86,-1.00,0.36
04-05-2026,03:03:41,458549.79,4019434.92,-1.00,0.34
04-05-2026,03:03:42,458549.99,4019434.97,4.00,0.34
04-05-2026,03:03:43,458550.19,4019435.02,-1.00,0.32
04-05-2026,03:03:44,458550.37,4019435.07,-2.00,0.31
04-05-2026,03:03:45,458550.55,4019435.10,1.00,0.30
04-05-2026,03:03:46,458550.74,4019435.13,0.00,0.30
04-05-2026,03:03:47,458550.93,4019435.16,4.00,0.30
04-05-2026,03:03:48,458551.10,4019435.22,-3.00,0.31
04-05-2026,03:03:49,458551.27,4019435.26,4.00,0.31
04-05-2026,03:03:50,458551.44,4019435.23,5.00,0.29
04-05-2026,03:03:51,458551.59,4019435.14,-9.00,0.27
04-05-2026,03:03:52,458551.75,4019435.02,-1.00,0.26
04-05-2026,03:03:53,458551.88,4019434.89,9.00,0.21
04-05-2026,03:03:54,458552.00,4019434.77,-2.00,0.20
04-05-2026,03:03:55,458552.10,4019434.67,-0.00,0.23
04-05-2026,03:03:56,458552.21,4019434.63,-3.00,0.28
04-05-2026,03:03:57,458552.32,4019434.65,-2.00,0.34
04-05-2026,03:03:58,458552.45,4019434.68,-6.00,0.37
04-05-2026,03:03:59,458552.59,4019434.72,-6.00,0.36
04-05-2026,03:04:00,458552.70,4019434.74,-3.00,0.40
04-05-2026,03:04:01,458552.82,4019434.74,-8.00,0.43
04-05-2026,03:04:02,458552.95,4019434.75,-3.00,0.45
04-05-2026,03:04:03,458553.08,4019434.75,4.00,0.46
04-05-2026,03:04:04,458553.20,4019434.74,-3.00,0.48
04-05-2026,03:04:05,458553.35,4019434.72,-5.00,0.49
04-05-2026,03:04:06,458553.49,4019434.76,-0.00,0.49
04-05-2026,03:04:07,458553.64,4019434.83,3.00,0.50
04-05-2026,03:04:08,458553.80,4019434.92,-7.00,0.46
04-05-2026,03:04:09,458553.95,4019434.99,2.00,0.43
04-05-2026,03:04:10,458554.09,4019435.06,-2.00,0.44
04-05-2026,03:04:11,458554.23,4019435.12,-6.00,0.38
04-05-2026,03:04:12,458554.39,4019435.18,6.00,0.39
04-05-2026,03:04:13,458554.54,4019435.25,2.00,0.39
04-05-2026,03:04:14,458554.69,4019435.31,-4.00,0.38
04-05-2026,03:04:15,458554.81,4019435.35,10.00,0.37
04-05-2026,03:04:16,458554.93,4019435.33,-2.00,0.39
04-05-2026,03:04:17,458555.07,4019435.26,-1.00,0.38
04-05-2026,03:04:18,458555.21,4019435.16,-4.00,0.36
