,,,,0.43
04-05-2026,03:02:53,458542.39,4019434.71,3.00,0.40
04-05-2026,03:02:54,458542.52,4019434.66,1.00,0.36
04-05-2026,03:02:55,458542.65,4019434.63,2.00,0.34
04-05-2026,03:02:56,458542.79,4019434.61,0.00,0.34
04-05-2026,03:02:57,458542.92,4019434.60,1.00,0.35
04-05-2026,03:02:58,458543.07,4019434.63,7.00,0.35
04-05-2026,03:02:59,458543.23,4019434.67,-1.00,0.36
04-05-2026,03:03:00,458543.40,4019434.72,2.00,0.34
04-05-2026,03:03:01,458543.57,4019434.77,-0.00,0.34
04-05-2026,03:03:02,458543.72,4019434.85,2.00,0.35
04-05-2026,03:03:03,458543.89,4019434.92,7.00,0.36
04-05-2026,03:03:04,458544.04,4019434.96,6.00,0.36
04-05-2026,03:03:05,458544.19,4019434.96,3.00,0.36
04-05-2026,03:03:06,458544.35,4019434.95,10.00,0.37
04-05-2026,03:03:07,458544.49,4019434.94,-2.00,0.39
04-05-2026,03:03:08,458544.64,4019434.94,-1.00,0.39
04-05-2026,03:03:09,458544.78,4019434.96,4.00,0.40
04-05-2026,03:03:10,458544.92,4019434.98,-2.00,0.39
04-05-2026,03:03:11,458545.06,4019434.98,4.00,0.40
04-05-2026,03:03:12,458545.19,4019434.99,-3.00,0.39
04-05-2026,03:03:13,458545.34,4019435.00,3.00,0.39
04-05-2026,03:03:14,458545.50,4019435.02,5.00,0.40
04-05-2026,03:03:15,458545.66,4019435.07,2.00,0.43
04-05-2026,03:03:16,458545.83,4019435.12,-1.00,0.40
04-05-2026,03:03:17,458545.99,4019435.17,-0.00,0.39
04-05-2026,03:03:18,458546.16,4019435.22,-5.00,0.38
04-05-2026,03:03:19,458546.32,4019435.25,-2.00,0.40
04-05-2026,03:03:20,458546.50,4019435.27,2.00,0.39
04-05-2026,03:03:21,458546.68,4019435.29,-3.00,0.37
04-05-2026,03:03:22,458546.85,4019435.34,4.00,0.35
04-05-2026,03:03:23,458547.01,4019435.36,1.00,0.36
04-05-2026,03:03:24,458547.20,4019435.33,1.00,0.33
04-05-2026,03:03:25,458547.37,4019435.31,1.00,0.31
04-05-2026,03:03:26,458547.54,4019435.26,1.00,0.27
04-05-2026,03:03:27,458547.69,4019435.22,5.00,0.25
04-05-2026,03:03:28,458547.85,4019435.17,7.00,0.23
04-05-2026,03:03:29,458548.00,4019435.12,3.00,0.23
04-05-2026,03:03:30,458548.13,4019435.08,-4.00,0.25
04-05-2026,03:03:31,458548.26,4019435.04,0.00,0.27
04-05-2026,03:03:32,458548.39,4019435.02,8.00,0.27
04-05-2026,03:03:33,458548.54,4019435.02,-1.00,0.32
04-05-2026,03:03:34,458548.69,4019435.06,1.00,0.35
04-05-2026,03:03:35,458548.83,4019435.11,5.00,0.36
04-05-2026,03:03:36,458548.96,4019435.16,1.00,0.37
04-05-2026,03:03:37,458549.11,4019435.22,6.00,0.39
04-05-2026,03:03:38,458549.26,4019435.28,8.00,0.40
04-05-2026,03:03:39,458549.43,4019435.30,7.00,0.39
04-05-2026,03:03:40,458549.61,4019435.33,4.00,0.36
04-05-2026,03:03:41,458549.78,4019435.39,19.00,0.34
04-05-2026,03:03:42,458549.98,4019435.44,20.00,0.34
04-05-2026,03:03:43,458550.17,4019435.49,23.00,0.32
04-05-2026,03:03:44,458550.36,4019435.54,20.00,0.31
04-05-2026,03:03:45,458550.54,4019435.57,16.00,0.30
04-05-2026,03:03:46,458550.72,4019435.60,12.00,0.30
04-05-2026,03:03:47,458550.91,4019435.63,14.00,0.30
04-05-2026,03:03:48,458551.09,4019435.69,13.00,0.31
04-05-2026,03:03:49,458551.26,4019435.73,-1.00,0.31
04-05-2026,03:03:50,458551.43,4019435.70,1.00,0.29
04-05-2026,03:03:51,458551.59,4019435.61,10.00,0.27
04-05-2026,03:03:52,458551.75,4019435.49,3.00,0.26
04-05-2026,03:03:53,458551.87,4019435.36,-0.00,0.21
04-05-2026,03:03:54,458551.99,4019435.23,1.00,0.20
04-05-2026,03:03:55,458552.09,4019435.14,-0.00,0.23
