,,,,0.43
04-05-2026,03:02:53,458542.42,4019433.77,-3.00,0.40
04-05-2026,03:02:54,458542.55,4019433.72,-6.00,0.36
04-05-2026,03:02:55,458542.69,4019433.69,-1.00,0.34
04-05-2026,03:02:56,458542.82,4019433.67,-7.00,0.34
04-05-2026,03:02:57,458542.96,4019433.66,-2.00,0.35
04-05-2026,03:02:58,458543.10,4019433.70,-2.00,0.35
04-05-2026,03:02:59,458543.26,4019433.73,-4.00,0.36
04-05-2026,03:03:00,458543.42,4019433.78,-2.00,0.34
04-05-2026,03:03:01,458543.57,4019433.83,7.00,0.34
04-05-2026,03:03:02,458543.72,4019433.91,-10.00,0.35
04-05-2026,03:03:03,458543.88,4019433.98,-7.00,0.36
04-05-2026,03:03:04,458544.03,4019434.02,-9.00,0.36
04-05-2026,03:03:05,458544.19,4019434.02,-5.00,0.36
04-05-2026,03:03:06,458544.35,4019434.01,-3.00,0.37
04-05-2026,03:03:07,458544.50,4019434.00,-4.00,0.39
04-05-2026,03:03:08,458544.65,4019434.00,-5.00,0.39
04-05-2026,03:03:09,458544.79,4019434.02,-8.00,0.40
04-05-2026,03:03:10,458544.93,4019434.04,-9.00,0.39
04-05-2026,03:03:11,458545.08,4019434.04,-3.00,0.40
04-05-2026,03:03:12,458545.21,4019434.05,-5.00,0.39
04-05-2026,03:03:13,458545.36,4019434.06,-5.00,0.39
04-05-2026,03:03:14,458545.52,4019434.08,-7.00,0.40
04-05-2026,03:03:15,458545.69,4019434.13,-7.00,0.43
04-05-2026,03:03:16,458545.86,4019434.18,-0.00,0.40
04-05-2026,03:03:17,458546.02,4019434.23,-2.00,0.39
04-05-2026,03:03:18,458546.19,4019434.28,-0.00,0.38
04-05-2026,03:03:19,458546.35,4019434.31,-1.00,0.40
04-05-2026,03:03:20,458546.53,4019434.33,-3.00,0.39
04-05-2026,03:03:21,458546.71,4019434.35,-6.00,0.37
04-05-2026,03:03:22,458546.88,4019434.40,-5.00,0.35
04-05-2026,03:03:23,458547.03,4019434.42,-4.00,0.36
04-05-2026,03:03:24,458547.21,4019434.39,-7.00,0.33
04-05-2026,03:03:25,458547.39,4019434.37,-4.00,0.31
04-05-2026,03:03:26,458547.55,4019434.32,-1.00,0.27
04-05-2026,03:03:27,458547.71,4019434.28,-1.00,0.25
04-05-2026,03:03:28,458547.87,4019434.23,3.00,0.23
04-05-2026,03:03:29,458548.01,4019434.18,-1.00,0.23
04-05-2026,03:03:30,458548.14,4019434.14,-5.00,0.25
04-05-2026,03:03:31,458548.27,4019434.10,-5.00,0.27
04-05-2026,03:03:32,458548.41,4019434.08,-4.00,0.27
04-05-2026,03:03:33,458548.55,4019434.08,-8.00,0.32
04-05-2026,03:03:34,458548.69,4019434.12,2.00,0.35
04-05-2026,03:03:35,458548.82,4019434.17,-1.00,0.36
04-05-2026,03:03:36,458548.96,4019434.22,-11.00,0.37
04-05-2026,03:03:37,458549.10,4019434.28,-2.00,0.39
04-05-2026,03:03:38,458549.25,4019434.34,-2.00,0.40
04-05-2026,03:03:39,458549.44,4019434.36,-9.00,0.39
04-05-2026,03:03:40,458549.62,4019434.39,-4.00,0.36
04-05-2026,03:03:41,458549.80,4019434.45,-4.00,0.34
04-05-2026,03:03:42,458550.00,4019434.50,-6.00,0.34
04-05-2026,03:03:43,458550.20,4019434.55,-4.00,0.32
04-05-2026,03:03:44,458550.39,4019434.60,-8.00,0.31
04-05-2026,03:03:45,458550.57,4019434.63,-6.00,0.30
04-05-2026,03:03:46,458550.76,4019434.66,-7.00,0.30
04-05-2026,03:03:47,458550.95,4019434.69,-11.00,0.30
04-05-2026,03:03:48,458551.12,4019434.75,-6.00,0.31
04-05-2026,03:03:49,458551.28,4019434.79,-9.00,0.31
04-05-2026,03:03:50,458551.44,4019434.76,-4.00,0.29
04-05-2026,03:03:51,458551.60,4019434.67,2.00,0.27
04-05-2026,03:03:52,458551.76,4019434.55,-3.00,0.26
04-05-2026,03:03:53,458551.89,4019434.42,1.00,0.21
04-05-2026,03:03:54,458552.01,4019434.30,-1.00,0.20
04-05-2026,03:03:55,458552.11,4019434.20,2.00,0.23
04-05-2026,03:03:56,458552.22,4019434.16,-2.00,0.28
04-05-2026,03:03:57,458552.33,4019434.19,-3.00,0.34
04-05-2026,03:03:58,458552.45,4019434.21,-2.00,0.37
04-05-2026,03:03:59,458552.59,4019434.25,3.00,0.36
04-05-2026,03:04:00,458552.70,4019434.27,9.00,0.40
04-05-2026,03:04:01,458552.82,4019434.27,-8.00,0.43
04-05-2026,03:04:02,458552.95,4019434.28,0.00,0.45
04-05-2026,03:04:03,458553.08,4019434.28,-6.00,0.46
04-05-2026,03:04:04,458553.21,4019434.27,-6.00,0.48
04-05-2026,03:04:05,458553.35,4019434.25,-5.00,0.49
04-05-2026,03:04:06,458553.49,4019434.30,-0.00,0.49
04-05-2026,03:04:07,458553.65,4019434.36,-1.00,0.50
04-05-2026,03:04:08,458553.80,4019434.45,-2.00,0.46
04-05-2026,03:04:09,458553.96,4019434.52,-5.00,0.43
04-05-2026,03:04:10,458554.10,4019434.59,-7.00,0.44
04-05-2026,03:04:11,458554.24,4019434.65,-2.00,0.38
04-05-2026,03:04:12,458554.40,4019434.71,-4.00,0.39
04-05-2026,03:04:13,458554.55,4019434.78,-8.00,0.39
04-05-2026,03:04:14,458554.70,4019434.84,-8.00,0.38
04-05-2026,03:04:15,458554.82,4019434.88,-9.00,0.37
04-05-2026,03:04:16,458554.95,4019434.86,-4.00,0.39
04-05-2026,03:04:17,458555.08,4019434.79,-5.00,0.38
04-05-2026,03:04:18,458555.22,4019434.69,-5.00,0.36
04-05-2026,03:04:19,458555.38,4019434.59,-2.00,0.32
04-05-2026,03:04:20,458555.53,4019434.50,3.00,0.31
04-05-2026,03:04:21,458555.69,4019434.41,-18.00,0.32
04-05-2026,03:04:22,458555.84,4019434.34,-1.00,0.34
